NAME,ISSUE TITLE,ISSUE NUMBER,PAGE COUNT,AGE RATING,COVER DATE,ISSUE SUMMARY,CHARACTERS,PUBLISHER,WRITER(S),PENCILLER(S),INKER(S),COLORIST(S),LETTERER(S),EDITOR(S),COVER ARTIST(S),URL,COVER URL
Civil War II,The Ultimates,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Ultimates+009+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Ultimates+009-000.jpg
Civil War II,The Ultimates,10,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Ultimates+010+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Ultimates+010-000.jpg
Civil War II,The Ultimates,11,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Ultimates+011+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Ultimates+011-000.jpg
Civil War II,The Ultimates,12,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Ultimates+012+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ultimates+(2015-)+012-000.jpg
Civil War II,Thunderbolts,5,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Thunderbolts+005+(2016)+(2+covers)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Thunderbolts+005-000.jpg
Civil War II,Uncanny Avengers,13,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Uncanny+Avengers+013+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Uncanny+Avengers+013-000.jpg
Civil War II,Uncanny Avengers,14,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Uncanny+Avengers+014+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Uncanny+Avengers+014-000.jpg
Civil War II,Uncanny Avengers,15,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Uncanny+Avengers+015+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Uncanny+Avengers+015-000.jpg
Civil War II,Uncanny Inhumans,11,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Uncanny+Inhumans+011+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Uncanny+Inhumans+011-000.jpg
Civil War II,Uncanny Inhumans,13,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Uncanny+Inhumans+013+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Uncanny+Inhumans+(2015-)+013-000.jpg
Civil War II,Uncanny Inhumans,14,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Uncanny+Inhumans+014+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Uncanny+Inhumans+(2015-)+014-000.jpg
Civil War II,Venom - Space Knight,11,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Venom+-+Space+Knight+011+(2016)+(2+covers)+(digital)+(Mintuemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Venom+-+Space+Knight+011-000.jpg
Civil War II,Venom - Space Knight,12,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Venom+-+Space+Knight+012+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Venom+-+Space+Knight+012-000.jpg
Dinosaucers,,3,,,,,,,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Dinosaucers+003+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Dinosaucers+003-000.jpg
Dinosaucers,,5,,,,,,,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Dinosaucers+005+(2019)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Dinosaucers+005-000.jpg
Encounter,,1,,,,,,,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Encounter+001+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Encounter+001-000.jpg
Ms. Marvel,,8,,,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ms.+Marvel+008+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ms.+Marvel+008-000.jpg
Ms. Marvel,,9,,,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ms.+Marvel+009+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ms.+Marvel+009-000.jpg
Ms. Marvel,,10,,,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ms.+Marvel+010+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ms.+Marvel+010-000.jpg
Ms. Marvel,,11,,,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ms.+Marvel+011+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ms.+Marvel+011-000.jpg
Moon Girl and Devil Dinosaur,,40,,,,,,,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Moon+Girl+and+Devil+Dinosaur+040+(2019)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Moon+Girl+and+Devil+Dinosaur+040-000.jpg
