NAME,ISSUE TITLE,ISSUE NUMBER,PAGE COUNT,AGE RATING,COVER DATE,ISSUE SUMMARY,CHARACTERS,PUBLISHER,WRITER(S),PENCILLER(S),INKER(S),COLORIST(S),LETTERER(S),EDITOR(S),COVER ARTIST(S),URL,COVER URL
Civil War II,Amazing Spider-Man,2,23,12+,7/13/2016,"Ulysses made a shocking prediction that someone in Spider-Man's life would turn traitor… and it isn't who you'd expect! The folks at Parker Industries already had one mole in their midst, another could destroy everything Peter's worked to build! Good thing Peter's got his old pal, Harry Osborn by his side, right? …Right?",,Marvel,Christos N. Gage,Travel Foreman,Travel Foreman,Travel Foreman,Travel Foreman,,Travel Foreman,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Civil+War+II+-+Amazing+Spider-Man+02+(of+04)+(2016)+(2+covers)+(digital)+(Minutemen-InnerDemons).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Civil+War+II+-+Amazing+Spider-Man+02-000.jpg
Civil War II,Amazing Spider-Man,3,23,12+,8/17/2016,Ulysses' visions wreak havoc on Spider-Man. The Amazing Spider-Man and Clash fight a swarm of robots and Clash slide into old habits!,,Marvel,Christos N. Gage,Travel Foreman,Travel Foreman,Travel Foreman,Travel Foreman,,Travel Foreman,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Civil+War+II+-+Amazing+Spider-Man+03+(of+04)+(2016)+(2+covers)+(digital)+(Minutemen-InnerDemons).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Civil+War+II+-+Amazing+Spider-Man+03-000.jpg
Civil War II,Amazing Spider-Man,4,23,12+,9/14/2016,The effects of Ulysses' prediction are felt as CLASH ATTACKS SPIDER-MAN!,,Marvel,Christos N. Gage,Travel Foreman,Travel Foreman,Travel Foreman,Travel Foreman,,Travel Foreman,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Civil+War+II+-+Amazing+Spider-Man+04+(of+04)+(2016)+(2+covers)+(digital)+(Minutemen-InnerDemons).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Civil+War+II+-+Amazing+Spider-Man+04-000.jpg
Civil War II,A-Force,8,22,12+,8/10/2016,"CIVIL WAR II TIE-IN! Civil War has come to A-FORCE! As the team is wrecked by a personal tragedy things only get worse when a predictive vision proclaims one of A-FORCE is a murderer. CAPTAIN MARVEL attempts an arrest, creating a rift that may very well mean the end of the team, and setting in motion a chain of devastating events that affect far more than just A-FORCE. Meanwhile foul-mouthed, gun-toting ELSA BLOODSTONE just unofficially joined A-Force. Looks like we're gonna need a bigger boat...and a verrrrry big black censor bar.",,Marvel,Kelly Thompson,Paulo Siqueira,Paulo Siqueira,Paulo Siqueira,Paulo Siqueira,,Paulo Siqueira,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/A-Force+008+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/A-Force+008-000.jpg
Civil War II,A-Force,9,23,12+,9/14/2016,"The fates of NICO MINORU, a mysterious missing girl named Alice, and a small town in Colorado are all tied together as CIVIL WAR II heats up and threatens to tear A-FORCE apart. The team, with ELSA BLOODSTONE in foul-mouthed tow, splits up to hunt down the apparent source of the trouble in the hopes of saving the town. However, it soon becomes apparent that all is not what it seems with the team—A-Force is changing—and by morning there may not be anyone left to save the day.",,Marvel,Kelly Thompson,Paulo Siqueira,Paulo Siqueira,Paulo Siqueira,Paulo Siqueira,,Paulo Siqueira,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/A-Force+009+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/A-Force+009-000.jpg
Civil War II,A-Force,10,22,12+,10/19/2016,"The lives of A-FORCE, a mysterious woman named Alice and an entire town lie in the hands of NICO MINORU. What Nico chooses to do next can save the day but can also make her a murderer — the very thing she's been running from since CAPTAIN MARVEL first tried to arrest her. And if A-Force manages to survive the day, can the team stay together? Or will this be the end of A-Force as we know it?",,Marvel,Kelly Thompson,Paulo Siqueira,Paulo Siqueira,Paulo Siqueira,Paulo Siqueira,,Stephanie Hans,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/A-Force+010+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/A-Force+010-000.jpg
Civil War II,Agents of S.H.I.E.L.D.,7,21,12+,7/13/2016,"The AGENTS OF S.H.I.E.L.D. are thrust into the middle of a war between heroes, and nothing will ever be the same for S.H.I.E.L.D. itself and for our beloved team as this mission will have lasting ramifications for Coulson and his intrepid agents.",,Marvel,Marc Guggenheim,German Peralta,German Peralta,German Peralta,German Peralta,,Mike Norton,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Agents+of+S.H.I.E.L.D.+007+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Agents+of+S.H.I.E.L.D.+007-000.jpg
Civil War II,Agents of S.H.I.E.L.D.,8,21,12+,8/10/2016,"CIVIL WAR II TIE-IN! PHIL COULSON, agent of S.H.I.E.L.D. no more! Coulson has chosen a side in this war...HIS OWN! The THIRD FACTION begins here. You are not going to want to miss this seismic-change issue.",,Marvel,Marc Guggenheim,German Peralta,German Peralta,German Peralta,German Peralta,,Mike Norton,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Agents+of+S.H.I.E.L.D.+008+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Agents+of+S.H.I.E.L.D.+008-000.jpg
Civil War II,Agents of S.H.I.E.L.D.,9,23,12+,9/21/2016,"IT'S COULSON VERSUS HIS TEAMMATES IN THIS EPIC SHOWDOWN! PHIL COULSON's THIRD FACTION is hitting the battlefield of CIVIL WAR II! But how will they fare against Coulson's former teammates and their new leader, ELEKTRA?? Sides are being chosen and these AGENTS OF S.H.I.E.L.D. will never be the same.",,Marvel,Marc Guggenheim,German Peralta,German Peralta,German Peralta,German Peralta,,Mike Norton,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Agents+of+S.H.I.E.L.D.+009+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Agents+of+S.H.I.E.L.D.+009-000.jpg
Civil War II,Agents of S.H.I.E.L.D.,10,23,12+,10/26/2016,The S.H.I.E.L.D. Civil War Concludes! Will COULSON return to his team? Will JEMMA SIMMONS live? Who is the new DEATHLOK? Get your answers here!,,Marvel,Marc Guggenheim,German Peralta,German Peralta,German Peralta,German Peralta,,Mike Norton,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Agents+of+S.H.I.E.L.D.+010+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Agents+of+S.H.I.E.L.D.+010-000.jpg
